rank,game_title,platform,year,genre,publisher,developer,north_america,europe,japan,rest_of_world,global,review,critic_score,user_score,url
1621,Ratchet & Clank: All 4 One,PS3,2011,Platform,Sony Computer Entertainment,Insomniac Games,0.67,0.16,0.05,0.11,0.99,76,7.5,,http://www.vgchartz.com/game/46827/ratchet-amp-clank-all-4-one/?region=All
1622,The Bouncer,PS2,2000,Action,Sony Computer Entertainment,SquareSoft,0.3,0.23,0.38,0.08,0.99,75,,,http://www.vgchartz.com/game/4542/the-bouncer/?region=All
1623,Shadow The Hedgehog,GC,2005,Platform,Sega,Sonic Team,0.76,0.2,0,0.03,0.99,54.43,4.8,,http://www.vgchartz.com/game/5680/shadow-the-hedgehog/?region=All
1624,SingStar,PS3,2007,Misc,Sony Computer Entertainment,SCEE London Studio,0.41,0.47,0,0.1,0.99,78,8,,http://www.vgchartz.com/game/12720/singstar/?region=All
1625,Pro Evolution Soccer 2008,PSP,2008,Sports,Konami Digital Entertainment,Konami,0.02,0.53,0.19,0.25,0.98,77,8.2,,http://www.vgchartz.com/game/12645/pro-evolution-soccer-2008/?region=All
1626,The Simpsons Game,X360,2007,Platform,Electronic Arts,Griptonite Games,0.52,0.36,0,0.1,0.98,62.83,,,http://www.vgchartz.com/game/12473/the-simpsons-game/?region=All
1627,Mario Party Advance,GBA,2005,Misc,Nintendo,Hudson Soft,0.5,0.19,0.28,0.02,0.98,56.42,,,http://www.vgchartz.com/game/3717/mario-party-advance/?region=All
1628,Dragon Age II,X360,2011,Role-Playing,Electronic Arts,BioWare Corp.,0.63,0.25,0.01,0.09,0.98,77.86,8,,http://www.vgchartz.com/game/44012/dragon-age-ii/?region=All
1629,ZhuZhu Pets,DS,2010,Simulation,Activision,Black Lantern Studios,0.63,0.26,0,0.09,0.98,54,,,http://www.vgchartz.com/game/43247/zhuzhu-pets/?region=All
1630,Resident Evil: The Darkside Chronicles,Wii,2009,Shooter,Capcom,"Cavia, inc.",0.42,0.28,0.2,0.08,0.98,80,7.2,,http://www.vgchartz.com/game/32591/resident-evil-the-darkside-chronicles/?region=All
1631,NASCAR 99,N64,1998,Racing,Electronic Arts,Stormfront Studios,0.94,0.04,0,0.01,0.98,67,,,http://www.vgchartz.com/game/6363/nascar-99/?region=All
1632,Suikoden III,PS2,,Role-Playing,Unknown,KCET,0.29,0.23,0.38,0.08,0.98,87,8.6,,http://www.vgchartz.com/game/2263/suikoden-iii/?region=All
1633,WipEout Pure,PSP,2005,Racing,Sony Computer Entertainment,Studio Liverpool,0.44,0.33,0,0.21,0.98,88.26,9.1,,http://www.vgchartz.com/game/2683/wipeout-pure/?region=All
1634,Spore,PC,2008,Strategy,Electronic Arts,Maxis,0,0.92,0,0.06,0.98,85.13,7,,http://www.vgchartz.com/game/14151/spore/?region=All
1635,MySims Agents,Wii,2009,Adventure,Electronic Arts,EA Redwood Shores,0.58,0.3,0,0.1,0.98,74,,,http://www.vgchartz.com/game/33724/mysims-agents/?region=All
1636,Super Princess Peach,DS,2005,Platform,Nintendo,TOSE Software,0.67,0.03,0.21,0.06,0.98,80,7.8,,http://www.vgchartz.com/game/2288/super-princess-peach/?region=All
1637,Madden NFL 10,PS2,2009,Sports,Electronic Arts,EA Tiburon,0.88,0.04,0,0.06,0.98,82,8.6,,http://www.vgchartz.com/game/33189/madden-nfl-10/?region=All
1638,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,Red Storm Entertainment / Ubisoft Paris,0.84,0.04,0.02,0.08,0.98,86.46,,,http://www.vgchartz.com/game/12300/tom-clancys-ghost-recon-advanced-warfighter-2/?region=All
1639,PES 2009: Pro Evolution Soccer,X360,2008,Sports,Konami Digital Entertainment,Konami,0.11,0.75,0.03,0.09,0.97,75,,,http://www.vgchartz.com/game/26633/pes-2009-pro-evolution-soccer/?region=All
1640,NCAA Football 06,XB,2005,Sports,Electronic Arts,EA Tiburon,0.73,0.21,0,0.03,0.97,87.87,,,http://www.vgchartz.com/game/5466/ncaa-football-06/?region=All
1641,Ninja Gaiden II,X360,2008,Action,Tecmo Koei,Team Ninja,0.62,0.21,0.05,0.09,0.97,85,8.2,,http://www.vgchartz.com/game/7709/ninja-gaiden-ii/?region=All
1642,Aliens vs Predator,PS3,2010,Shooter,Sega,Rebellion Developments,0.38,0.43,0,0.17,0.97,66.97,6.2,,http://www.vgchartz.com/game/35320/aliens-vs-predator/?region=All
1643,The Simpsons Game,Wii,2007,Platform,Electronic Arts,Griptonite Games,0.44,0.43,0,0.11,0.97,62.83,,,http://www.vgchartz.com/game/12473/the-simpsons-game/?region=All
1644,Fire Emblem,GBA,2003,Strategy,Nintendo,Intelligent Systems,0.49,0.18,0.29,0.01,0.97,92,8.8,,http://www.vgchartz.com/game/3340/fire-emblem/?region=All
1645,Need for Speed: Most Wanted - A Criterion Game,X360,2012,Racing,Electronic Arts,#N/A,0.35,0.51,0,0.11,0.97,67,#N/A,,
1646,The Orange Box,PS3,2007,Shooter,Electronic Arts,Valve Software,0.25,0.53,0,0.2,0.97,88.97,9.7,,http://www.vgchartz.com/game/7619/the-orange-box/?region=All
1647,Wall-E,Wii,2008,Platform,THQ,Heavy Iron Studios,0.48,0.39,0,0.1,0.97,54.78,,,http://www.vgchartz.com/game/17016/wall-e/?region=All
1648,NHL 2004,PS2,2003,Sports,Electronic Arts,EA Black Box,0.47,0.37,0,0.12,0.97,83,,,http://www.vgchartz.com/game/5527/nhl-2004/?region=All
1649,Darksiders,X360,2010,Action,THQ,Vigil Games,0.62,0.25,0.01,0.09,0.97,83.98,7.8,,http://www.vgchartz.com/game/25779/darksiders/?region=All
1650,Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive,Rockstar Leeds,0.78,0.03,0.03,0.13,0.97,75.96,8.4,,http://www.vgchartz.com/game/897/grand-theft-auto-vice-city-stories/?region=All
1651,FIFA Soccer 2005,XB,2004,Sports,Electronic Arts,EA Canada,0.33,0.6,0,0.04,0.97,84,8.4,,http://www.vgchartz.com/game/6264/fifa-soccer-2005/?region=All
1652,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,Yuke's Media Creations,0.37,0.49,0,0.11,0.97,59,,,http://www.vgchartz.com/game/12782/wwe-smackdown-vs-raw-2008/?region=All
1653,Sonic Generations,PS3,2011,Platform,Sega,Sonic Team,0.35,0.43,0.02,0.17,0.97,79.29,7.3,,http://www.vgchartz.com/game/50911/sonic-generations/?region=All
1654,Brink,X360,2011,Shooter,Bethesda Softworks,Splash Damage,0.54,0.32,0.01,0.1,0.97,69.74,6.8,,http://www.vgchartz.com/game/34910/brink/?region=All
1655,Prince of Persia,X360,2008,Adventure,Ubisoft,Ubisoft Montreal,0.52,0.32,0.02,0.1,0.97,80,8.3,8.2,http://www.vgchartz.com/game/24825/prince-of-persia/?region=All
1656,Puzzler Collection,DS,2008,Puzzle,Ubisoft,Route 1 Games,0.16,0.77,0,0.04,0.97,60,,,http://www.vgchartz.com/game/24560/puzzler-collection/?region=All
1657,LEGO Star Wars II: The Original Trilogy,GC,2006,Action,LucasArts,Traveller's Tales,0.75,0.19,0,0.03,0.97,86,8.4,,http://www.vgchartz.com/game/5267/lego-star-wars-ii-the-original-trilogy/?region=All
1658,Red Dead Redemption: Undead Nightmare,PS3,2010,Action,Take-Two Interactive,Rockstar San Diego,0.36,0.39,0.06,0.16,0.97,88,10,,http://www.vgchartz.com/game/48243/red-dead-redemption-undead-nightmare/?region=All
1659,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,Spike / Bandai Namco Games,0.31,0.31,0.26,0.08,0.97,72.91,,,http://www.vgchartz.com/game/12742/dragon-ball-z-budokai-tenkaichi-3/?region=All
1660,Medal of Honor: Underground,PS,2000,Shooter,Electronic Arts,DreamWorks Interactive,0.54,0.37,0,0.06,0.97,82,,,http://www.vgchartz.com/game/1299/medal-of-honor-underground/?region=All
1661,Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,Level 5,0.38,0.25,0.26,0.07,0.96,88.58,8.6,,http://www.vgchartz.com/game/3050/dark-cloud-2/?region=All
1662,Grand Theft Auto: Chinatown Wars,PSP,2009,Adventure,Take-Two Interactive,Rockstar Leeds/North,0.25,0.44,0.03,0.25,0.96,83,9.5,9.6,http://www.vgchartz.com/game/24661/grand-theft-auto-chinatown-wars/?region=All
1663,Cars 2,DS,2011,Platform,Disney Interactive Studios,Avalanche Software,0.52,0.31,0.04,0.09,0.96,76,6.5,,http://www.vgchartz.com/game/50215/cars-2/?region=All
1664,Jampack Summer '99,PS,1999,Misc,Sony Computer Entertainment,Sony Computer Entertainment America,0.54,0.36,0,0.06,0.96,63,,,http://www.vgchartz.com/game/42511/jampack-summer-99/?region=All
1665,LEGO Harry Potter: Years 1-4,PS3,2010,Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,0.43,0.38,0,0.16,0.96,82,7.9,,http://www.vgchartz.com/game/35012/lego-harry-potter-years-1-4/?region=All
1666,Sonic the Hedgehog,X360,2006,Platform,Sega,Sonic Team,0.4,0.46,0,0.11,0.96,60,,,http://www.vgchartz.com/game/6427/sonic-the-hedgehog/?region=All
1667,Tamagotchi Connection: Corner Shop 2,DS,2006,Simulation,Namco Bandai Games,NanaOn-Sha,0.09,0,0.86,0.01,0.96,65,,,http://www.vgchartz.com/game/4514/tamagotchi-connection-corner-shop-2/?region=All
1668,FIFA Soccer 10,Wii,2009,Sports,Electronic Arts,EA Canada,0.23,0.63,0,0.11,0.96,72,9,,http://www.vgchartz.com/game/34959/fifa-soccer-10/?region=All
1669,NCAA Football 12,X360,2011,Sports,Electronic Arts,EA Tiburon,0.89,0,0,0.07,0.96,78,7.8,,http://www.vgchartz.com/game/50445/ncaa-football-12/?region=All
