rank,game_title,platform,year,genre,publisher,developer,north_america,europe,japan,rest_of_world,global,review,critic_score,user_score,url
374,wwe Smackdown vs. Raw 2006,PS2,,Fighting,N/A,#N/A,1.57,1.02,0,0.41,3,91,#N/A,,
375,Star Fox,SNES,1993,Shooter,Nintendo,Argonaut Games,1.61,0.51,0.8,0.07,2.99,86,,,http://www.vgchartz.com/game/6450/star-fox/?region=All
376,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,Maxis,1.67,1.18,0,0.13,2.99,77.48,,,http://www.vgchartz.com/game/6486/the-sims-livin-large/?region=All
377,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,Konami Computer Entertainment Tokyo,0.12,1.26,1.16,0.45,2.99,90.54,,,http://www.vgchartz.com/game/17045/world-soccer-winning-eleven-6-international/?region=All
378,Devil May Cry,PS2,2001,Action,Capcom,Capcom,1.36,0.86,0.64,0.13,2.99,92.6,9.1,9.3,http://www.vgchartz.com/game/514/devil-may-cry/?region=All
379,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,BioWare Edmonton,1.92,0.75,0.03,0.28,2.97,95.69,9.5,8.9,http://www.vgchartz.com/game/28815/mass-effect-2/?region=All
380,Dance Central,X360,2010,Misc,MTV Games,Harmonix Music Systems,1.95,0.72,0.01,0.28,2.96,86.55,8.4,,http://www.vgchartz.com/game/45609/dance-central/?region=All
381,Sonic Heroes,PS2,2003,Platform,Sega,Sonic Team,1.04,1.37,0.06,0.49,2.96,70.6,6.6,,http://www.vgchartz.com/game/5707/sonic-heroes/?region=All
382,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,IO Interactive,1.36,1.15,0.04,0.41,2.96,85.02,,,http://www.vgchartz.com/game/5194/hitman-2-silent-assassin/?region=All
383,Nintendogs + cats,3DS,2011,Simulation,Nintendo,Nintendo EAD,1.16,0.91,0.67,0.2,2.94,77,7.2,,http://www.vgchartz.com/game/45682/nintendogs-cats/?region=All
384,Wave Race 64,N64,1996,Racing,Nintendo,Nintendo EAD,1.98,0.58,0.34,0.04,2.94,90.67,9.2,,http://www.vgchartz.com/game/2641/wave-race-64/?region=All
385,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,Zipper Interactive,2.22,0.51,0.06,0.15,2.94,86.99,,,http://www.vgchartz.com/game/2093/socom-ii-us-navy-seals/?region=All
386,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,Yuke's,1.45,1.11,0.04,0.33,2.94,91,8.4,,http://www.vgchartz.com/game/58209/wwe-smackdown-vs-raw-2006/?region=All
387,Pac-Man Collection,GBA,2001,Puzzle,Atari,Mass Media,2.07,0.77,0.05,0.05,2.94,80,,,http://www.vgchartz.com/game/6382/pac-man-collection/?region=All
388,Gran Turismo,PSP,2009,Racing,Sony Computer Entertainment,Polyphony Digital,0.43,1.4,0.31,0.78,2.92,74.54,9.5,,http://www.vgchartz.com/game/884/gran-turismo/?region=All
389,Yoshi's Island: Super Mario Advance 3,GBA,2002,Platform,Nintendo,Nintendo EAD,1.75,0.45,0.62,0.09,2.91,91,,,http://www.vgchartz.com/game/4430/yoshis-island-super-mario-advance-3/?region=All
390,Sonic Mega Collection Plus,PS2,2004,Misc,Sega,Sonic Team,1.54,1.14,0,0.22,2.9,75.68,,,http://www.vgchartz.com/game/5709/sonic-mega-collection-plus/?region=All
391,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,Konami Computer Entertainment Tokyo,0.08,1.24,1.13,0.45,2.9,92.97,9.2,,http://www.vgchartz.com/game/17046/world-soccer-winning-eleven-7-international/?region=All
392,Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,Clap Hanz,0.99,0.32,1.38,0.2,2.89,82,,,http://www.vgchartz.com/game/990/hot-shots-golf-3/?region=All
393,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,Guerrilla Games,1.35,1,0.08,0.45,2.89,90.56,9.1,9.3,http://www.vgchartz.com/game/12253/killzone-2/?region=All
394,Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,Spark Unlimited,1.51,1.12,0.01,0.24,2.89,77.18,,,http://www.vgchartz.com/game/4937/call-of-duty-finest-hour/?region=All
395,Syphon Filter,PS,1999,Shooter,Sony Computer Entertainment,Eidetic,2.03,0.72,0.02,0.11,2.88,87,9.2,,http://www.vgchartz.com/game/2311/syphon-filter/?region=All
396,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,Media Molecule,1.57,0.84,0.06,0.41,2.87,91,9.1,,http://www.vgchartz.com/game/43908/littlebigplanet-2/?region=All
397,Colin McRae Rally,PS,1998,Racing,Codemasters,Codemasters,0.09,2.43,0.12,0.22,2.87,88.82,7.9,,http://www.vgchartz.com/game/6208/colin-mcrae-rally/?region=All
398,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,HAL Laboratory,1.51,0.01,1.19,0.15,2.86,79.5,7.3,,http://www.vgchartz.com/game/24035/kirby-super-star-ultra/?region=All
399,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,Bethesda Softworks,2.09,0.63,0.03,0.11,2.86,87,8.2,,http://www.vgchartz.com/game/635/the-elder-scrolls-iii-morrowind/?region=All
400,Disney Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,Junction Point Studios,1.91,0.58,0.12,0.25,2.86,72.53,7,,http://www.vgchartz.com/game/39480/disney-epic-mickey/?region=All
401,Imagine: Babyz,DS,2007,Simulation,Ubisoft,Visual Impact,1.29,1.25,0,0.31,2.85,62,3.5,,http://www.vgchartz.com/game/13430/imagine-babyz/?region=All
402,Yoshi's Story,N64,1997,Platform,Nintendo,Nintendo EAD,1.29,0.53,0.98,0.05,2.85,73,,,http://www.vgchartz.com/game/2781/yoshis-story/?region=All
403,F-Zero,SNES,1990,Racing,Nintendo,Nintendo EAD,1.37,0.51,0.89,0.07,2.85,83,,,http://www.vgchartz.com/game/3235/f-zero/?region=All
404,Doom,PC,1992,Shooter,id Software,Williams Entertainment Inc.,1.61,1.12,0,0.13,2.85,80.16,,,http://www.vgchartz.com/game/556/doom/?region=All
405,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,Westwood Studios,1.37,1.34,0,0.14,2.85,91,9.3,,http://www.vgchartz.com/game/6211/command-amp-conquer-red-alert/?region=All
406,Sega Superstars Tennis,X360,2008,Sports,Sega,Sumo Digital,1.73,0.84,0,0.28,2.85,69.08,6.9,,http://www.vgchartz.com/game/14444/sega-superstars-tennis/?region=All
407,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,Office Create,1.38,1.1,0.05,0.3,2.84,62.81,5.9,,http://www.vgchartz.com/game/3015/cooking-mama-cook-off/?region=All
408,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,Intelligent Systems,0.84,1.01,0.73,0.25,2.84,81.82,8.2,,http://www.vgchartz.com/game/6151/warioware-smooth-moves/?region=All
409,WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,Yuke's,1.32,1.08,0.04,0.39,2.83,86,,,http://www.vgchartz.com/game/6534/wwe-smackdown-vs-raw/?region=All
410,LEGO Batman: The Videogame,DS,2008,Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,1.63,0.91,0,0.28,2.83,81,7.5,,http://www.vgchartz.com/game/13867/lego-batman-the-videogame/?region=All
411,Diablo II,PC,2000,Role-Playing,Havas Interactive,Blizzard North,2.78,0.05,0,0,2.82,88.58,8.8,,http://www.vgchartz.com/game/7276/diablo-ii/?region=All
412,Metroid Prime,GC,2002,Shooter,Nintendo,Retro Studios,1.96,0.67,0.1,0.09,2.82,96.35,9.6,9.5,http://www.vgchartz.com/game/1339/metroid-prime/?region=All
413,Finding Nemo,GBA,2003,Action,THQ,Vicarious Visions,1.59,1.05,0.04,0.14,2.82,59,7,,http://www.vgchartz.com/game/6223/finding-nemo/?region=All
414,WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ,Yuke's,1.32,1.06,0.04,0.38,2.8,90,,,http://www.vgchartz.com/game/6536/wwe-smackdown-here-comes-the-pain/?region=All
415,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,0.89,1.46,0,0.44,2.8,91,9.3,,http://www.vgchartz.com/game/49112/the-elder-scrolls-v-skyrim/?region=All
416,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,Virtual Toys / Lexis Numerique,1.31,1.18,0,0.3,2.79,56,3,,http://www.vgchartz.com/game/12867/imagine-fashion-designer/?region=All
417,Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,Camelot Software Planning,0.29,0.2,2.13,0.18,2.79,84,,,http://www.vgchartz.com/game/3222/hot-shots-golf/?region=All
418,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,Traveller's Tales,1.96,0.72,0,0.11,2.79,51.9,3.6,,http://www.vgchartz.com/game/6192/a-bugs-life/?region=All
419,WWF SmackDown! Just Bring It,PS2,2001,Fighting,THQ,Yuke's,1.19,1.15,0.04,0.41,2.79,78,,,http://www.vgchartz.com/game/2744/wwf-smackdown-just-bring-it/?region=All
420,Mortal Kombat Trilogy,PS,1996,Fighting,GT Interactive,Avalanche Software,1.98,0.7,0,0.11,2.79,85,,,http://www.vgchartz.com/game/5383/mortal-kombat-trilogy/?region=All
421,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,Bethesda Softworks,1.5,0.77,0.14,0.38,2.79,91,9.2,,http://www.vgchartz.com/game/636/the-elder-scrolls-iv-oblivion/?region=All
422,NBA Street,PS2,2001,Sports,Electronic Arts,NuFX,2.19,0.22,0,0.38,2.79,88,,,http://www.vgchartz.com/game/5459/nba-street/?region=All
423,Madden NFL 10,X360,2009,Sports,Electronic Arts,EA Tiburon,2.48,0.09,0,0.22,2.79,81,8.6,,http://www.vgchartz.com/game/33189/madden-nfl-10/?region=All
424,Jak II,PS2,2003,Platform,Sony Computer Entertainment,Naughty Dog,1.68,0.74,0,0.36,2.78,90,,,http://www.vgchartz.com/game/1045/jak-ii/?region=All
425,Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Computer Entertainment,Insomniac Games,1.44,0.83,0.26,0.25,2.78,91,8.7,,http://www.vgchartz.com/game/6405/ratchet-amp-clank-going-commando/?region=All
426,The Sims,PS2,2003,Simulation,Electronic Arts,Edge of Reality,1.41,1.12,0,0.24,2.77,81.07,,,http://www.vgchartz.com/game/5844/the-sims/?region=All
427,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,EA Digital Illusions CE,1.23,1.03,0.08,0.42,2.76,85.62,9,9.3,http://www.vgchartz.com/game/31439/battlefield-bad-company-2/?region=All
428,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,BioWare Edmonton,1.74,0.72,0.03,0.26,2.75,91.24,9.2,9.1,http://www.vgchartz.com/game/7635/mass-effect/?region=All
429,Mario Paint,SNES,1992,Misc,Nintendo,Intelligent Systems,1.43,0.54,0.71,0.07,2.75,80,,,http://www.vgchartz.com/game/3716/mario-paint/?region=All
430,Saints Row 2,X360,2008,Action,THQ,Volition Inc.,1.72,0.74,0.02,0.27,2.75,86,7.9,,http://www.vgchartz.com/game/13813/saints-row-2/?region=All
431,Pokémon Stadium 2,N64,2000,Strategy,Nintendo,#N/A,1.02,0.36,1.13,0.23,2.73,80,#N/A,,
432,Metroid,NES,1986,Adventure,Nintendo,Nintendo R&D1,1.33,0.31,1.04,0.05,2.73,72,,,http://www.vgchartz.com/game/6343/metroid/?region=All
433,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,Team Bondi,1.11,1.06,0.11,0.45,2.73,86,9.1,,http://www.vgchartz.com/game/33961/la-noire/?region=All
434,Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,Ensemble Studios,2.7,0.02,0,0,2.72,91.81,9.3,,http://www.vgchartz.com/game/6194/age-of-empires-ii-the-age-of-kings/?region=All
435,LEGO Batman: The Videogame,Wii,,Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,1.59,0.86,0,0.27,2.72,80,7.5,,http://www.vgchartz.com/game/13867/lego-batman-the-videogame/?region=All
436,The Legend of Zelda: A Link to the Past,GBA,2002,Adventure,Nintendo,Nintendo EAD,1.75,0.52,0.33,0.1,2.7,92,10,,http://www.vgchartz.com/game/4566/the-legend-of-zelda-a-link-to-the-past/?region=All
437,Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,Flagship,0.99,0.48,1.09,0.14,2.7,85,8.7,7.3,http://www.vgchartz.com/game/3954/onimusha-warlords/?region=All
438,Mario Party,N64,1998,Misc,Nintendo,Hudson Soft,1.25,0.53,0.87,0.05,2.7,82,7.6,,http://www.vgchartz.com/game/1256/mario-party/?region=All
439,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,BioWare,1.73,0.69,0.03,0.25,2.7,92.17,,,http://www.vgchartz.com/game/44118/mass-effect-3/?region=All
440,LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,Traveller's Tales,1.85,0.64,0.01,0.19,2.69,86,8.4,,http://www.vgchartz.com/game/5267/lego-star-wars-ii-the-original-trilogy/?region=All
441,Yoshi's Island DS,DS,2006,Platform,Nintendo,Artoon,1.41,0.04,1.1,0.14,2.69,86,8.2,,http://www.vgchartz.com/game/4771/yoshis-island-ds/?region=All
442,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,Criterion Games,1.23,1.11,0,0.34,2.68,93.32,9.3,,http://www.vgchartz.com/game/4915/burnout-3-takedown/?region=All
443,Mortal Kombat,GEN,1992,Fighting,Acclaim Entertainment,Probe Entertainment Limited,1.95,0.63,0,0.09,2.67,83,,,http://www.vgchartz.com/game/6353/mortal-kombat/?region=All
444,Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,Treyarch,1.48,0.92,0.01,0.26,2.67,78.45,8.5,,http://www.vgchartz.com/game/4932/call-of-duty-2-big-red-one/?region=All
445,Medal of Honor,PS,1998,Shooter,Electronic Arts,EA Los Angeles,1.44,1.09,0,0.14,2.67,87.31,7,,http://www.vgchartz.com/game/41325/medal-of-honor/?region=All
446,Fable,XB,2004,Role-Playing,Microsoft Game Studios,Big Blue Box,1.99,0.58,0,0.09,2.66,85.36,8.6,,http://www.vgchartz.com/game/703/fable/?region=All
447,Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft,Ubisoft,1.15,1.11,0,0.4,2.65,88.13,9.3,9.1,http://www.vgchartz.com/game/2467/tom-clancys-splinter-cell/?region=All
448,Super Mario Bros. 2 (FDS),NES,1986,Platform,Nintendo,Nintendo EAD,0,0,2.65,0,2.65,79,,,http://www.vgchartz.com/game/6456/super-mario-bros-2-fds/?region=All
449,Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,LucasArts,2,0.5,0.12,0.03,2.65,79,,,http://www.vgchartz.com/game/2215/star-wars-shadows-of-the-empire/?region=All
450,Hannah Montana,DS,2006,Action,Disney Interactive Studios,DC Studios,1.59,0.8,0,0.26,2.64,45,6.5,,http://www.vgchartz.com/game/944/hannah-montana/?region=All
451,Madden NFL 11,X360,2010,Sports,Electronic Arts,EA Tiburon,2.32,0.11,0,0.21,2.64,71,8.3,,http://www.vgchartz.com/game/43128/madden-nfl-11/?region=All
452,Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,Angel Studios,2,0.47,0.02,0.14,2.63,76.99,,,http://www.vgchartz.com/game/6346/midnight-club-street-racing/?region=All
453,ESPN NFL 2K5,PS2,2004,Sports,Sega,Visual Concepts,2.15,0.12,0,0.36,2.62,88.03,,,http://www.vgchartz.com/game/5055/espn-nfl-2k5/?region=All
454,Madden NFL 12,X360,2011,Sports,Electronic Arts,EA Tiburon,2.33,0.08,0,0.21,2.62,72,7.8,,http://www.vgchartz.com/game/50440/madden-nfl-12/?region=All
455,Call of Duty 3,X360,2006,Shooter,Activision,Treyarch,1.45,0.88,0.02,0.26,2.61,82.36,8,8.4,http://www.vgchartz.com/game/2966/call-of-duty-3/?region=All
456,Harry Potter and the Chamber of Secrets,PS2,2002,Adventure,Electronic Arts,Eurocom Entertainment Software,0.9,1.22,0.04,0.44,2.61,74,,,http://www.vgchartz.com/game/19251/harry-potter-and-the-chamber-of-secrets/?region=All
457,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,Nintendo Software Technology Corporation,1.58,0.47,0.35,0.21,2.6,80.08,7.8,,http://www.vgchartz.com/game/45675/mario-vs-donkey-kong-mini-land-mayhem/?region=All
458,Medal of Honor,PS3,2010,Shooter,Electronic Arts,EA Los Angeles,1.2,0.94,0.07,0.4,2.6,78,7,,http://www.vgchartz.com/game/41325/medal-of-honor/?region=All
459,Streets of Rage,GEN,1990,Action,Sega,Sega,1.86,0.55,0.11,0.08,2.6,84,,,http://www.vgchartz.com/game/6453/streets-of-rage/?region=All
460,NBA Live 2005,PS2,2004,Sports,Electronic Arts,EA Canada,2.03,0.21,0,0.35,2.59,81.85,,,http://www.vgchartz.com/game/5456/nba-live-2005/?region=All
461,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,Sucker Punch Productions,1.54,0.59,0.12,0.33,2.58,86.17,8.7,9.1,http://www.vgchartz.com/game/13108/infamous/?region=All
462,BioShock,X360,2007,Shooter,Take-Two Interactive,2K Australia / 2K Boston,1.46,0.81,0.05,0.26,2.58,96.12,9.6,9.5,http://www.vgchartz.com/game/7023/bioshock/?region=All
463,Sonic and the Secret Rings,Wii,2007,Platform,Sega,Sonic Team,1.1,1.16,0.04,0.28,2.58,75,6.7,,http://www.vgchartz.com/game/2104/sonic-and-the-secret-rings/?region=All
464,WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,THQ,Yuke's,1.4,0.88,0.03,0.26,2.58,87,8,,http://www.vgchartz.com/game/2741/wwe-smackdown-vs-raw-2007/?region=All
465,Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,Sony Computer Entertainment,Insomniac Games,1.31,0.74,0.31,0.22,2.57,92,9.1,,http://www.vgchartz.com/game/6406/ratchet-amp-clank-up-your-arsenal/?region=All
466,Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,Team Fusion,0.83,1.08,0.01,0.65,2.57,81,6.7,,http://www.vgchartz.com/game/1297/medal-of-honor-heroes/?region=All
467,Tekken: Dark Resurrection,PSP,2006,Fighting,Sony Computer Entertainment,8ing/Raizing,0.76,1.06,0.12,0.63,2.57,82.18,8.7,,http://www.vgchartz.com/game/2347/tekken-dark-resurrection/?region=All
468,Madden NFL 08,PS2,2007,Sports,Electronic Arts,EA Tiburon,2.14,0.08,0,0.35,2.57,81,,,http://www.vgchartz.com/game/7176/madden-nfl-08/?region=All
469,FIFA Soccer 10,X360,2009,Sports,Electronic Arts,EA Canada,0.57,1.77,0.01,0.23,2.57,87,9,,http://www.vgchartz.com/game/34959/fifa-soccer-10/?region=All
470,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,BioWare / LucasArts,1.35,0.88,0,0.33,2.56,83,8.4,,http://www.vgchartz.com/game/31584/star-wars-the-old-republic/?region=All
471,Sonic Adventure 2 Battle,GC,2001,Platform,Sega,Sonic Team,1.7,0.59,0.21,0.07,2.56,84,6.8,,http://www.vgchartz.com/game/4343/sonic-adventure-2-battle/?region=All
472,Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,#N/A,0.15,0,2.41,0,2.56,88,#N/A,,
473,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,Nintendo EAD,0.97,0.5,0.92,0.16,2.55,81,7.2,,http://www.vgchartz.com/game/47092/super-mario-all-stars-limited-edition/?region=All
474,Guitar Hero: World Tour,X360,2008,Misc,Activision,Vicarious Visions,1.7,0.61,0,0.24,2.55,84.44,8.4,,http://www.vgchartz.com/game/23198/guitar-hero-world-tour/?region=All
475,Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,LucasArts,1.61,0.69,0,0.25,2.55,82,7.1,,http://www.vgchartz.com/game/13961/star-wars-the-force-unleashed/?region=All
476,Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,"Pipeworks Software, Inc.",1.37,0.91,0,0.26,2.54,78,,,http://www.vgchartz.com/game/51188/zumba-fitness-2/?region=All
477,Pokémon Colosseum,GC,2003,Role-Playing,Nintendo,#N/A,1.21,0.57,0.7,0.07,2.54,78,#N/A,,
478,Need for Speed: Shift,PS3,2009,Racing,Electronic Arts,Slightly Mad Studios,0.67,1.33,0.04,0.5,2.54,74,8.2,,http://www.vgchartz.com/game/31147/need-for-speed-shift/?region=All
479,NBA 2K12,X360,2011,Sports,Take-Two Interactive,Visual Concepts,2.2,0.12,0.01,0.2,2.54,88,9.1,,http://www.vgchartz.com/game/50999/nba-2k12/?region=All
480,God of War Collection,PS3,2009,Action,Sony Computer Entertainment,Bluepoint Games,1.63,0.36,0.06,0.48,2.53,90.62,9.2,,http://www.vgchartz.com/game/38409/god-of-war-collection/?region=All
481,Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,Hitmaker,1.13,1.12,0.06,0.22,2.52,79.07,8.2,,http://www.vgchartz.com/game/6219/crazy-taxi/?region=All
482,Perfect Dark,N64,2000,Action,Nintendo,Rare Ltd.,1.55,0.75,0.16,0.06,2.52,94.2,9.7,,http://www.vgchartz.com/game/1724/perfect-dark/?region=All
483,Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,Capcom,0.35,0.24,1.75,0.17,2.52,88,7.6,,http://www.vgchartz.com/game/3837/monster-hunter-freedom-2/?region=All
484,FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,EA Canada,0.45,1.6,0.04,0.42,2.51,86,8.6,,http://www.vgchartz.com/game/25801/fifa-soccer-09/?region=All
485,Tekken 6,PS3,2009,Fighting,Namco Bandai Games,Namco Bandai Games,1.09,0.86,0.17,0.39,2.51,79.65,7.9,,http://www.vgchartz.com/game/13114/tekken-6/?region=All
486,PES 2009: Pro Evolution Soccer,PS2,2008,Sports,Konami Digital Entertainment,Konami,0.13,1.68,0.26,0.43,2.5,82,,,http://www.vgchartz.com/game/26633/pes-2009-pro-evolution-soccer/?region=All
487,Mario Party 2,N64,1999,Misc,Nintendo,Hudson Soft,1.28,0.14,1.08,0.01,2.5,84,,,http://www.vgchartz.com/game/1257/mario-party-2/?region=All
488,Madden NFL 09,X360,2008,Sports,Electronic Arts,EA Tiburon,2.18,0.11,0,0.2,2.49,81,8.5,,http://www.vgchartz.com/game/14678/madden-nfl-09/?region=All
489,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,Take-Two Interactive,Rockstar North,1.84,0.56,0,0.09,2.49,91,9.8,,http://www.vgchartz.com/game/6284/rockstar-games-double-pack-grand-theft-auto-iii-amp-grand-theft-auto-vice-city/?region=All
490,Mario Strikers Charged,Wii,2007,Sports,Nintendo,Next Level Games,1.01,1,0.24,0.24,2.49,79.43,7.7,,http://www.vgchartz.com/game/6976/mario-strikers-charged/?region=All
491,Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,Midway Games,Midway,1.81,0.52,0,0.15,2.49,83,8.2,,http://www.vgchartz.com/game/5386/mortal-kombat-deadly-alliance/?region=All
492,Style Savvy,DS,2008,Simulation,Nintendo,syn Sophia,0.58,0.76,0.96,0.18,2.48,83,7.6,,http://www.vgchartz.com/game/28294/style-savvy/?region=All
493,Medal of Honor,X360,2010,Shooter,Electronic Arts,EA Los Angeles,1.47,0.74,0.04,0.24,2.48,76,7,,http://www.vgchartz.com/game/41325/medal-of-honor/?region=All
494,Tomb Raider: The Last Revelation,PS,1998,Action,Eidos Interactive,Core Design Ltd.,1.15,1.14,0.06,0.13,2.48,77,,,http://www.vgchartz.com/game/6507/tomb-raider-the-last-revelation/?region=All
495,Mario Party 4,GC,2002,Misc,Nintendo,Hudson Soft,1.13,0.36,0.92,0.07,2.47,73.3,7,,http://www.vgchartz.com/game/1259/mario-party-4/?region=All
496,Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,Criterion Games,0.91,1.1,0.03,0.44,2.47,84,8.9,,http://www.vgchartz.com/game/45649/need-for-speed-hot-pursuit/?region=All
497,Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,Toys for Bob,1.18,1.02,0,0.26,2.46,67,8,,http://www.vgchartz.com/game/50151/skylanders-spyros-adventure/?region=All
498,Madden NFL 13,X360,2012,Sports,Electronic Arts,EA Tiburon,2.18,0.08,0,0.19,2.45,68,8,,http://www.vgchartz.com/game/70678/madden-nfl-13/?region=All
499,Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision,Raven Software,2.26,0.01,0,0.19,2.45,82.09,8.3,,http://www.vgchartz.com/game/5328/marvel-ultimate-alliance/?region=All
500,Final Fantasy Tactics,PS,1997,Role-Playing,Square,SquareSoft,0.93,0.12,1.34,0.06,2.45,92,8.8,,http://www.vgchartz.com/game/754/final-fantasy-tactics/?region=All
501,Final Fantasy V,SNES,1992,Role-Playing,Square,SquareSoft,0,0,2.43,0.02,2.45,87,7.5,,http://www.vgchartz.com/game/3317/final-fantasy-v/?region=All
502,Deca Sports,Wii,2008,Sports,Hudson Soft,CAProduction,1.09,0.82,0.29,0.24,2.45,53.04,5.3,,http://www.vgchartz.com/game/18524/deca-sports/?region=All
503,Art Academy,DS,2010,Misc,Nintendo,Headstrong Games,0.23,1.6,0.33,0.28,2.45,78.45,6.8,,http://www.vgchartz.com/game/45454/art-academy/?region=All
504,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,Obsidian Entertainment,1.13,0.85,0.1,0.37,2.44,83.11,8.3,,http://www.vgchartz.com/game/33664/fallout-new-vegas/?region=All
505,Saints Row: The Third,X360,2011,Action,THQ,Volition Inc.,1.06,1.07,0.06,0.26,2.44,84.9,8.3,,http://www.vgchartz.com/game/33324/saints-row-the-third/?region=All
506,Twisted Metal 2,PS,1996,Racing,Sony Computer Entertainment,SingleTrac,2.12,0.25,0,0.07,2.44,86.44,8.7,,http://www.vgchartz.com/game/2549/twisted-metal-2/?region=All
507,Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,Guerrilla Games,1.27,0.73,0.09,0.35,2.44,86.38,8.2,,http://www.vgchartz.com/game/33543/killzone-3/?region=All
508,Professor Layton and the Last Specter,DS,2009,Adventure,Level 5,Level 5,0.24,1.29,0.68,0.23,2.43,87,8.4,,http://www.vgchartz.com/game/36335/professor-layton-and-the-last-specter/?region=All
509,The Sims: Bustin' Out,PS2,2003,Simulation,Electronic Arts,Maxis,1.07,1.19,0,0.18,2.43,83.44,,,http://www.vgchartz.com/game/5852/the-sims-bustin-out/?region=All
510,Mario Party 9,Wii,2012,Misc,Nintendo,"Nd Cube Co., Ltd.",0.84,0.73,0.67,0.19,2.43,75.05,6.5,,http://www.vgchartz.com/game/51842/mario-party-9/?region=All
511,Riven: The Sequel to Myst,PC,1997,Adventure,Red Orb,Cyan Worlds,1.52,0.82,0,0.1,2.43,84,,,http://www.vgchartz.com/game/6410/riven-the-sequel-to-myst/?region=All
512,L.A. Noire,X360,2011,Adventure,Take-Two Interactive,Team Bondi,1.34,0.82,0.02,0.24,2.42,87,9.1,,http://www.vgchartz.com/game/33961/la-noire/?region=All
513,Sonic Adventure,DC,1998,Platform,Sega,Sonic Team,1.26,0.61,0.46,0.08,2.42,90,8.9,,http://www.vgchartz.com/game/2101/sonic-adventure/?region=All
514,Ice Hockey,NES,1988,Sports,Nintendo,Nintendo,1.27,0.32,0.78,0.05,2.42,82,,,http://www.vgchartz.com/game/6299/ice-hockey/?region=All
