rank,game_title,platform,year,genre,publisher,developer,critic_score,user_score,north_america,europe,japan,rest_of_world,global
810,LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,Traveller's Tales,8,,1.18,0.56,0,0.19,1.93
811,Tetris DX,GB,1998,Puzzle,Nintendo,Nintendo R&D1,,,1.06,0.6,0.2,0.07,1.93
812,Virtua Fighter 2,SAT,1995,Fighting,Sega,Sega-AM2,,,0.34,0.26,1.3,0.03,1.93
813,Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,Electronic Arts,EA Black Box,7.4,,1.72,0.04,0.02,0.14,1.92
814,FIFA Soccer 09,X360,2008,Sports,Electronic Arts,EA Canada,8.6,,0.48,1.25,0.01,0.18,1.92
815,The Sims: Makin' Magic,PC,2003,Simulation,Electronic Arts,Maxis,,,1.03,0.8,0,0.09,1.92
816,Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,Kojima Productions,8.6,,0.41,0.34,0.96,0.21,1.92
817,Wipeout: The Game,Wii,2009,Misc,Mindscape,Endemol,,,1.78,0,0,0.15,1.92
818,The Legend of Zelda: Oracle of Ages,GB,2001,Adventure,Nintendo,Flagship,9.4,,0.92,0.53,0.41,0.06,1.92
819,Hot Shots Golf: Open Tee,PSP,2004,Sports,Sony Computer Entertainment,Clap Hanz,8.4,,0.47,0.5,0.63,0.32,1.92
820,PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,NanaOn-Sha,9.2,,0.26,0.16,1.46,0.03,1.92
821,MX Unleashed,PS2,2004,Racing,THQ,Rainbow Studios,,,0.94,0.73,0,0.25,1.92
822,Red Faction,PS2,2001,Shooter,THQ,Volition Inc.,9.1,,0.76,0.96,0,0.2,1.92
823,Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft,Ubisoft,6,,1.29,0.45,0,0.18,1.92
824,Kirby Squeak Squad,DS,2006,Platform,Nintendo,"HAL Laboratory, Flagship",7.3,,0.77,0.01,1.05,0.08,1.91
825,Mario Party 3,N64,2000,Misc,Nintendo,Hudson Soft,7,,0.72,0.16,1.01,0.02,1.91
826,Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,Ubisoft Montreal,8.8,,1.06,0.63,0.02,0.19,1.91
827,Need For Speed: Undercover,PS3,2008,Racing,Electronic Arts,EA Vancouver,5.9,,0.6,0.9,0.05,0.36,1.9
828,Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts,Factor 5,9.2,,1.03,0.75,0.03,0.09,1.9
829,Dance Central 2,X360,2011,Misc,Microsoft Game Studios,Harmonix Music Systems,8.6,,1.34,0.38,0.01,0.17,1.9
830,Just Dance 3,X360,2011,Misc,Ubisoft,Ubisoft Paris,7.5,,1.39,0.34,0,0.17,1.9
831,Medal of Honor: European Assault (All Region sales),PS2,2005,Shooter,Electronic Arts,EA Los Angeles,,,0.89,0.69,0.09,0.21,1.88
832,Yu-Gi-Oh! Forbidden Memories,PS,1999,Role-Playing,Konami Digital Entertainment,KCEJ,7,,1.37,0.44,0,0.08,1.88
833,Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games,Midway Games,7.4,,0.92,0.72,0,0.24,1.88
834,Hot Shots Golf 2,PS,1999,Sports,Sony Computer Entertainment,Clap Hanz,,,0.25,0.12,1.48,0.03,1.88
835,Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,Square Enix,High Horse Entertainment,7.5,,0.99,0.23,0.53,0.13,1.88
836,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,Square Enix,7.9,,0.56,0.35,0.75,0.23,1.88
837,WCW Nitro,PS,1998,Fighting,THQ,Inland Productions,,,1.42,0.36,0.03,0.07,1.88
838,Far Cry 3,PS3,2012,Shooter,Ubisoft,Ubisoft Montreal,,,0.52,0.95,0.05,0.36,1.88
839,Call of Duty: World at War,Wii,2008,Shooter,Activision,Treyarch,8.5,7.8,1.13,0.55,0,0.18,1.87
840,FIFA 2000,PS,1998,Sports,Electronic Arts,EA Canada,8.8,,0.22,1.47,0.04,0.14,1.87
841,Star Fox Adventures,GC,2002,Adventure,Nintendo,Rare Ltd.,8.1,,0.96,0.53,0.3,0.09,1.87
842,Mario Tennis Aces,NS,2018,Sports,Nintendo  ,Camelot Software Planning  ,7.8,,0.71,0.62,0.42,0.12,1.87
843,Dynasty Warriors 3,PS2,2001,Action,THQ,Omega Force,,,0.53,0.16,1.07,0.1,1.87
844,Turok 2: Seeds of Evil,N64,1997,Platform,Acclaim Entertainment,Iguana Entertainment,9,,1.37,0.41,0.04,0.04,1.86
845,Shrek 2,PS2,2004,Platform,Activision,"Luxoflux, Inc.",6.9,,1.12,0.69,0.03,0.02,1.86
846,NBA Live 2002,PS2,2001,Sports,Electronic Arts,EA Canada,,,0.91,0.71,0,0.24,1.86
847,Dead Space,PS3,2008,Action,Electronic Arts,EA Redwood Shores,8.9,,1,0.59,0,0.28,1.86
848,Madden NFL 06,XB,2005,Sports,Electronic Arts,EA Tiburon,9.1,,1.75,0.03,0,0.08,1.86
849,The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,Nintendo,Flagship,9.3,,0.87,0.52,0.41,0.06,1.86
850,SingStar,PS2,2004,Misc,Sony Computer Entertainment,SCEE London Studio,8,,0,1.37,0,0.49,1.86
851,The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,SCEI,7.8,6.5,0.94,0.44,0.39,0.1,1.86
852,Chrono Cross,PS,1999,Role-Playing,Square,SquareSoft,9.7,,0.62,0.42,0.69,0.12,1.86
853,Pinball,NES,1984,Action,Nintendo,Nintendo,,,0.8,0.19,0.83,0.03,1.85
854,Jak 3,PS2,2004,Platform,Sony Computer Entertainment,Naughty Dog,,,1.33,0.49,0,0.03,1.85
855,Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,Square Enix,Jupiter Corporation,7.4,,1.26,0.18,0.35,0.06,1.85
856,Madden NFL 09,PS3,2008,Sports,Electronic Arts,EA Tiburon,8.5,,1.55,0.12,0,0.17,1.84
857,NCAA Football 06,PS2,2005,Sports,Electronic Arts,EA Tiburon,,,1.53,0.05,0,0.25,1.84
858,Gran Turismo Concept 2001 Tokyo,PS2,2000,Racing,Unknown,Polyphony Digital,,,0,1.1,0.42,0.33,1.84
859,Call of Duty 2,X360,2005,Shooter,Activision,Infinity Ward,8.8,9.1,1.66,0.02,0.01,0.14,1.83
860,Game Party 2,Wii,2008,Misc,Midway Games,FarSight Studios,,,1.24,0.42,0,0.17,1.83
861,"Hey You, Pikachu!",N64,1998,Simulation,Nintendo,Ambrella,,,0.83,0.06,0.93,0,1.83
862,Mario Super Sluggers,Wii,2008,Sports,Nintendo,Bandai Namco Games / NOW Production,6.7,,1.41,0,0.29,0.13,1.83
863,Air Combat,PS,1995,Simulation,Sony Computer Entertainment,Namco,7,,0.92,0.33,0.52,0.05,1.83
864,Jet Moto,PS,1996,Racing,Sony Computer Entertainment,SingleTrac,,,1.33,0.4,0.03,0.07,1.83
865,Secret of Mana,SNES,1993,Role-Playing,Square,SquareSoft,9.1,,0.25,0.07,1.49,0.02,1.83
866,Need for Speed: Shift,X360,2009,Racing,Electronic Arts,Slightly Mad Studios,8.2,,0.68,0.92,0.01,0.21,1.82
867,Namco Museum,PS2,2001,Misc,Namco Bandai Games,Mass Media,,,1.73,0.07,0,0.02,1.82
868,Sonic & Knuckles,GEN,1994,Platform,Sega,Sonic Team,,,1.24,0.43,0.03,0.12,1.82
869,Guitar Hero: World Tour,PS3,2008,Misc,Activision,Vicarious Visions,8.4,,1.04,0.51,0,0.26,1.81
870,Toy Story 3: The Video Game,DS,2010,Action,Disney Interactive Studios,Avalanche Software,,,0.74,0.85,0.02,0.2,1.81
871,The Sims: Hot Date,PC,2001,Simulation,Electronic Arts,Maxis,,,1.81,0,0,0,1.81
872,DDRMAX2: Dance Dance Revolution,PS2,2003,Simulation,Konami Digital Entertainment,Konami Computer Entertainment Tokyo,,,1.05,0.59,0,0.18,1.81
873,LEGO Star Wars: The Complete Saga,PS3,2007,Action,LucasArts,Traveller's Tales,8,,0.88,0.64,0,0.29,1.81
874,Crazy Taxi,DC,2000,Racing,Sega,Hitmaker,8.2,,1.1,0.51,0.12,0.08,1.81
875,Virtua Fighter 4,PS2,2002,Fighting,Sega,Sega-AM2,9.3,,0.78,0.44,0.56,0.04,1.81
876,Sly 2: Band of Thieves,PS2,2004,Platform,Sony Computer Entertainment,Sucker Punch,,,0.88,0.69,0,0.23,1.81
877,NFL GameDay 2000,PS,1999,Sports,989 Studios,Red Zone Entertainment,,,1,0.68,0,0.12,1.8
878,Dead Island,PS3,2011,Action,Deep Silver,Techland,7.1,,0.83,0.57,0.14,0.26,1.8
879,Sonic Advance 2,GBA,2002,Platform,Sega,Dimps Corporation / Sonic Team,,,0.93,0.59,0.21,0.07,1.8
880,Borderlands,PS3,2009,Shooter,Take-Two Interactive,Gearbox Software,8.3,,1.06,0.49,0,0.25,1.8
881,The Lion King,SNES,1994,Platform,Virgin Interactive,Westwood Studios,,,1.26,0.39,0.08,0.06,1.79
